@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
3.489,7.921,2.448,n
0.600,0.316,7.023,p
0.350,0.634,3.113,p
5.801,0.468,8.224,n
6.894,0.131,8.262,p
0.618,0.306,6.594,p
6.362,8.409,3.394,n
5.787,7.923,0.891,n
7.728,7.884,6.438,n
2.090,5.304,5.713,n
0.072,0.901,4.416,p
8.250,4.283,8.626,n
8.069,7.216,0.472,p
0.556,0.195,2.742,p
2.609,9.532,8.197,n
0.041,0.708,4.799,p
0.050,0.551,0.432,p
0.021,0.083,8.458,n
4.544,6.115,7.104,n
4.342,0.077,5.364,n
5.639,8.547,7.620,n
0.536,0.424,1.398,p
3.565,1.935,9.403,p
0.498,9.785,8.672,n
0.480,3.639,5.081,n
9.997,3.712,8.998,n
0.130,0.158,7.871,p
2.292,4.386,3.573,n
8.297,2.366,6.729,n
5.898,4.384,3.684,n
0.481,0.145,2.224,p
0.902,6.021,9.320,n
0.545,0.301,5.693,p
0.479,0.254,1.192,p
6.800,1.773,0.522,p
8.948,7.723,7.474,n
0.244,0.143,5.211,p
4.187,2.827,1.491,p
7.039,9.192,0.710,n
6.772,7.948,4.583,n
5.313,6.873,1.181,n
4.877,0.765,4.462,p
9.731,2.063,4.438,n
6.630,8.009,0.003,n
8.770,4.845,9.796,n
6.430,7.773,4.128,n
4.584,3.581,3.273,n
5.165,9.916,9.028,n
9.850,2.865,2.429,n
8.353,5.725,8.963,n
9.605,4.083,8.926,n
2.436,5.253,2.347,n
4.517,4.391,0.132,n
7.842,2.046,6.899,n
3.188,2.539,8.501,n
9.836,7.070,0.730,n
8.144,1.591,4.301,n
0.800,0.112,8.228,p
0.042,0.568,2.704,p
9.934,9.384,2.000,n
4.813,8.247,6.629,n
0.420,0.521,9.971,n
6.077,4.993,9.038,n
7.381,0.474,3.488,n
3.728,2.264,3.228,n
0.342,6.298,1.335,n
0.532,0.250,0.951,p
6.908,1.036,8.841,n
2.604,0.167,6.234,n
5.003,2.900,9.128,p
4.613,1.856,7.377,n
0.118,0.345,1.333,p
0.099,0.525,4.379,p
0.457,0.034,3.964,p
0.272,1.711,8.324,n
0.066,0.248,9.704,n
8.119,6.657,9.221,n
9.642,4.716,1.013,n
0.673,0.164,8.655,p
0.737,0.166,1.248,p
4.041,8.987,9.051,n
3.072,1.169,7.099,p
0.128,0.562,0.462,p
8.031,8.977,2.217,n
0.194,0.239,1.165,p
8.614,7.745,9.461,n
5.829,8.305,5.983,p
0.908,0.050,6.127,p
0.027,0.817,4.220,p
5.436,1.909,6.090,p
1.433,0.031,5.957,n
0.043,0.796,9.605,p
4.622,5.801,7.808,n
7.976,2.525,1.009,n
8.711,4.522,9.179,n
1.816,5.210,7.934,n
8.212,2.728,1.563,n
0.573,0.023,0.392,p
0.503,0.076,8.153,p
0.211,0.028,6.429,p
6.357,2.671,3.949,p
0.158,0.065,2.434,n
0.035,0.033,8.187,p
8.344,0.667,6.330,n
0.190,0.675,9.277,p
0.348,0.646,9.041,p
0.440,0.188,7.681,p
7.285,2.375,7.829,n
0.464,0.190,2.695,p
0.191,0.234,7.629,p
3.506,0.468,4.763,n
1.621,9.292,3.353,n
6.377,5.365,1.637,n
3.190,7.918,4.247,n
0.476,8.798,2.751,n
0.272,0.334,4.763,p
0.196,0.500,0.800,p
0.189,0.706,7.740,p
0.099,0.843,9.840,p
0.021,0.435,2.625,n
6.852,1.439,4.278,n
0.210,0.258,9.162,p
4.445,4.268,7.570,n
0.178,0.808,8.466,p
3.769,6.554,3.960,n
0.743,3.424,5.111,n
0.215,0.010,0.214,p
0.581,0.076,8.191,p
0.605,0.378,5.729,p
0.371,0.077,0.617,p
0.171,0.458,4.621,p
7.008,4.999,0.088,n
0.658,0.016,1.874,p
3.731,0.430,1.962,n
3.051,9.448,2.929,n
0.103,0.721,0.445,p
9.130,7.081,9.454,p
4.208,3.251,8.199,n
0.347,0.024,6.817,p
7.714,0.994,9.156,n
4.256,2.079,4.439,p
2.267,7.648,6.101,n
3.495,7.913,6.721,n
5.786,8.529,2.077,n
0.203,0.014,7.879,p
0.163,0.155,9.292,p
1.421,0.982,6.270,p
0.296,0.253,6.251,p
0.115,0.221,8.847,n
5.012,0.117,6.965,n
0.320,0.245,1.505,p
8.100,1.483,4.872,n
0.177,0.514,0.820,p
8.282,3.774,4.199,n
8.689,5.686,9.743,p
5.490,0.570,0.546,n
5.763,6.757,9.136,n
0.118,0.108,2.742,p
0.338,0.184,9.767,p
0.598,0.041,0.387,p
0.028,0.910,2.880,p
1.037,6.631,9.319,n
0.516,0.115,5.699,p
3.328,2.423,1.161,n
9.803,5.481,9.802,n
3.399,3.237,8.306,n
5.831,2.776,2.538,p
8.794,9.691,9.898,n
0.457,0.239,0.730,p
0.030,0.935,4.937,p
6.451,4.841,9.026,p
0.248,0.188,0.604,p
0.585,0.015,4.083,p
0.700,0.081,6.512,p
2.465,9.395,0.485,n
4.493,6.824,0.809,n
8.930,4.767,0.550,p
0.026,0.185,4.480,p
0.146,0.753,0.296,p
6.617,0.690,4.203,n
0.754,1.896,1.131,n
0.093,0.725,1.524,p
0.030,0.619,1.563,n
8.560,1.260,4.341,n
3.639,6.690,0.976,n
0.595,0.247,3.549,p
2.342,8.342,3.008,n
0.242,0.151,6.305,p
0.875,0.083,4.090,p
0.062,0.721,2.843,p
5.436,3.670,1.793,n
0.117,0.376,0.067,p
7.779,0.820,2.269,n
1.334,1.686,7.645,p
1.997,3.743,1.052,n
6.102,8.825,7.164,n
2.489,9.193,8.213,n
0.346,0.520,2.715,p
9.200,7.149,4.603,n
7.670,1.572,6.295,p
0.306,0.622,2.328,p
0.103,0.732,7.885,p
0.040,3.486,5.097,n
9.691,2.441,5.424,n
1.828,7.323,6.965,n
0.328,0.420,2.153,p
0.073,0.534,6.546,p
4.858,5.772,1.514,n
0.157,0.781,2.538,n
0.290,0.685,3.566,p
0.175,0.179,0.075,p
5.812,4.382,1.703,n
2.308,8.706,0.469,n
4.554,5.233,5.670,n
6.119,9.583,5.669,n
1.923,1.608,8.039,n
0.469,0.483,3.605,p
8.877,6.802,0.890,n
0.026,0.270,1.077,p
0.764,0.038,9.381,p
2.772,6.204,6.959,n
0.876,0.755,4.591,n
3.378,3.119,7.180,n
0.854,3.427,0.194,p
0.258,0.315,8.158,p
0.187,0.626,5.151,p
0.283,0.232,2.480,p
0.343,0.345,3.437,p
4.167,4.941,8.230,n
2.005,1.335,8.860,p
8.201,2.117,6.510,n
0.857,0.118,6.346,p
0.850,0.033,6.559,n
0.009,0.038,9.620,p
0.166,0.062,1.469,p
0.039,0.863,0.714,p
7.006,7.926,3.465,n
0.765,0.126,9.620,n
9.295,5.657,7.752,n
2.584,9.594,8.965,n
5.713,6.941,0.644,n
1.050,5.286,3.158,n
9.208,7.617,8.383,p
0.139,0.289,6.459,p
8.354,4.736,9.765,n
0.271,0.456,4.347,p
4.543,1.566,6.456,n
2.866,6.468,0.289,n
4.784,4.427,5.542,n
5.138,2.085,0.650,n
0.174,0.223,6.121,n
0.536,0.105,7.994,n
0.099,0.607,1.681,p
0.219,0.448,7.955,p
6.173,3.297,1.383,n
2.488,9.607,6.657,n
7.579,4.490,9.098,n
0.057,0.135,1.131,p
0.057,0.073,2.827,p
3.114,0.960,8.497,n
0.190,0.530,7.330,n
0.388,0.199,3.888,p
0.054,0.485,1.250,p
0.252,0.010,9.559,p
0.272,9.432,0.400,n
0.566,0.117,4.773,n
9.628,4.564,6.367,n
0.688,0.045,8.578,p
0.372,0.036,1.600,p
0.558,0.109,6.806,p
0.062,0.675,2.002,p
0.012,0.975,1.104,p
0.512,0.079,7.511,p
0.028,0.773,8.021,p
8.041,5.676,9.097,n
0.275,0.457,5.592,p
0.602,0.025,5.844,p
0.528,0.433,7.749,p
4.162,3.024,3.314,n
3.851,6.288,8.909,n
0.638,0.269,4.764,p
1.083,8.626,5.579,n
5.439,9.415,2.047,p
7.649,9.613,1.823,n
4.644,2.752,6.388,n
1.428,6.796,6.101,n
0.628,0.304,0.016,p
5.898,2.578,3.064,n
5.132,2.859,0.940,n
5.506,0.198,1.167,p
3.665,9.205,9.297,n
0.438,0.422,2.616,p
4.184,1.078,2.053,n
0.176,0.537,6.444,p
3.839,0.192,7.716,n
3.683,4.572,8.927,n
0.399,0.270,8.538,p
8.889,4.310,5.280,n
7.376,7.825,3.605,n
3.325,0.823,6.886,n
0.102,0.453,2.994,p
0.589,0.174,2.067,p
0.627,0.127,3.726,p
0.118,0.045,6.606,p
0.327,0.156,3.872,p
0.186,0.534,1.612,p
0.151,0.239,7.168,n
7.947,0.984,4.753,n
0.233,0.140,5.608,p
0.603,0.213,5.067,p
0.444,0.343,0.440,n
6.445,1.738,1.885,n
0.542,0.379,8.110,p
0.199,0.793,9.674,p
1.567,7.406,6.715,n
0.209,0.665,1.542,p
0.123,0.318,3.633,p
8.351,1.285,6.471,n
1.572,4.899,2.978,n
0.061,0.424,2.091,p
6.550,6.528,0.874,p
1.001,6.645,4.554,n
0.096,0.652,0.560,p
0.119,0.578,0.507,p
0.413,8.018,5.884,p
2.709,1.006,5.306,n
9.248,7.989,6.849,n
0.395,0.352,5.640,n
0.368,0.549,8.939,p
0.902,0.001,5.979,p
9.893,2.282,4.381,p
2.754,2.990,6.390,n
0.376,5.361,7.795,n
0.083,0.276,5.935,p
0.241,0.301,2.776,p
0.216,0.496,9.509,p
4.215,9.769,7.294,p
0.134,0.041,9.804,p
3.787,4.850,5.660,n
2.208,2.549,5.318,n
0.733,0.115,2.493,p
0.160,0.625,9.389,p
0.962,0.849,6.421,n
0.149,0.741,6.319,p
0.261,0.225,5.111,p
1.930,3.814,2.557,n
7.529,2.377,7.810,n
0.160,0.693,0.144,p
1.201,0.823,8.137,n
0.547,0.159,8.353,p
0.046,0.213,2.176,p
1.527,6.649,9.330,n
5.574,3.276,4.647,n
0.616,0.028,4.943,p
0.845,2.554,5.013,n
0.316,0.380,3.463,p
9.053,7.384,8.377,p
0.170,0.599,9.543,p
3.399,3.981,2.500,n
0.707,0.267,7.249,p
1.245,1.382,6.380,n
6.387,1.186,1.843,n
0.643,0.016,7.301,p
