@relation circles-noisy=0.2
@attribute x real
@attribute y real
@attribute class {0,1}

@data
0.211,0.462,0
0.302,0.484,0
0.745,0.096,0
0.623,0.727,0
0.278,0.602,1
0.230,0.382,1
0.120,0.599,1
0.438,0.708,1
0.242,0.629,1
0.353,0.544,1
0.307,0.542,0
0.889,0.135,0
0.979,0.473,1
0.508,0.713,0
0.141,0.619,0
0.084,0.497,1
0.113,0.452,1
0.108,0.571,1
0.921,0.354,0
0.795,0.455,0
0.390,0.934,0
0.142,0.006,0
0.173,0.415,0
0.104,0.518,1
0.222,0.562,1
0.371,0.684,0
0.207,0.443,1
0.223,0.657,1
0.152,0.844,0
0.981,0.531,0
0.226,0.330,1
0.231,0.473,1
0.158,0.530,0
0.308,0.586,0
0.346,0.319,1
0.529,0.919,0
0.120,0.527,0
0.783,0.428,0
0.974,0.958,1
0.052,0.608,0
0.907,0.026,0
0.937,0.786,1
0.242,0.375,1
0.218,0.613,0
0.234,0.642,1
0.075,0.259,0
0.275,0.541,1
0.223,0.518,0
0.108,0.927,0
0.917,0.025,0
0.317,0.508,1
0.383,0.525,0
0.202,0.532,0
0.450,0.488,0
0.449,0.873,1
0.519,0.987,0
0.323,0.417,1
0.381,0.208,1
0.206,0.511,1
0.270,0.398,1
0.685,0.270,1
0.197,0.410,1
0.339,0.496,1
0.154,0.410,1
0.081,0.813,1
0.054,0.534,1
0.695,0.368,0
0.620,0.772,1
0.147,0.464,1
0.855,0.957,0
0.198,0.393,1
0.144,0.541,1
0.148,0.637,0
0.248,0.584,1
0.289,0.535,1
0.880,0.612,0
0.246,0.085,1
0.165,0.448,1
0.104,0.745,0
0.172,0.404,0
0.896,0.581,0
0.053,0.491,1
0.251,0.613,1
0.257,0.546,1
0.817,0.342,0
0.261,0.518,1
0.290,0.519,1
0.270,0.220,1
0.453,0.483,1
0.083,0.580,1
0.523,0.016,0
0.208,0.495,1
0.106,0.533,0
0.144,0.385,1
0.048,0.576,0
0.245,0.707,0
0.273,0.377,0
0.302,0.349,0
0.971,0.813,1
0.885,0.072,0
0.808,0.931,0
0.166,0.472,0
0.182,0.975,0
0.998,0.741,0
0.034,0.547,1
0.124,0.501,0
0.379,0.963,1
0.190,0.724,1
0.861,0.917,0
0.212,0.385,1
0.295,0.902,0
0.308,0.295,0
0.113,0.633,0
0.233,0.358,1
0.279,0.521,1
0.238,0.525,0
0.736,0.375,0
0.774,0.802,1
0.291,0.468,0
0.118,0.484,0
0.075,0.758,0
0.066,0.022,0
0.441,0.526,0
0.524,0.763,0
0.092,0.510,1
0.254,0.541,1
0.210,0.379,1
0.579,0.582,0
0.316,0.092,0
0.028,0.456,0
0.364,0.436,1
0.348,0.675,1
0.575,0.015,1
0.423,0.606,1
0.290,0.555,0
0.187,0.413,1
0.292,0.418,1
0.528,0.777,1
0.284,0.391,1
0.286,0.642,1
0.450,0.839,0
0.189,0.559,1
0.146,0.300,0
0.391,0.406,1
0.896,0.292,0
0.281,0.160,1
0.996,0.721,0
0.216,0.481,1
0.215,0.373,1
0.120,0.421,1
0.913,0.619,0
0.193,0.647,1
0.860,0.363,1
0.246,0.559,1
0.908,0.639,0
0.522,0.671,0
0.234,0.519,1
0.381,0.632,0
0.286,0.338,1
0.293,0.441,1
0.401,0.679,1
0.976,0.233,0
0.099,0.437,0
0.140,0.625,1
0.231,0.499,0
0.508,0.443,1
0.306,0.520,1
0.168,0.420,0
0.106,0.614,1
0.711,0.270,0
0.256,0.522,1
0.960,0.969,0
0.944,0.240,1
0.067,0.515,1
0.155,0.142,0
0.348,0.595,0
0.507,0.340,0
0.440,0.340,0
0.329,0.424,0
0.063,0.017,1
0.565,0.905,0
0.212,0.475,1
0.195,0.122,0
0.821,0.608,0
0.942,0.917,0
0.460,0.822,0
0.903,0.734,1
0.945,0.116,1
0.692,0.816,1
0.325,0.612,1
0.386,0.662,1
0.906,0.939,0
0.118,0.563,1
0.297,0.863,0
0.209,0.533,1
0.058,0.440,1
0.816,0.460,0
0.771,0.490,0
0.183,0.400,1
0.597,0.440,0
0.106,0.433,1
0.456,0.401,1
0.118,0.519,1
0.182,0.393,1
0.130,0.665,0
0.300,0.399,0
0.034,0.302,0
0.147,0.836,0
0.819,0.669,0
0.878,0.283,0
0.466,0.220,1
0.335,0.529,1
0.308,0.383,1
0.850,0.046,0
0.345,0.571,1
0.357,0.548,0
0.660,0.809,0
0.285,0.522,0
0.074,0.569,0
0.498,0.909,0
0.492,0.440,0
0.557,0.809,0
0.324,0.425,1
0.675,0.131,1
0.585,0.548,1
0.407,0.418,1
0.022,0.431,1
0.458,0.475,1
0.127,0.452,0
0.364,0.407,0
0.156,0.441,0
0.165,0.876,1
0.765,0.746,0
0.299,0.659,1
0.126,0.507,1
0.171,0.590,1
0.109,0.316,0
0.492,0.424,1
0.240,0.031,0
0.185,0.404,1
0.171,0.779,1
0.234,0.558,0
0.238,0.985,1
0.570,0.216,1
0.907,0.107,0
0.090,0.785,1
0.239,0.513,0
0.144,0.613,0
0.281,0.360,1
0.472,0.548,1
0.713,0.889,1
0.396,0.420,1
0.144,0.411,1
0.008,0.081,0
0.308,0.432,1
0.243,0.493,0
0.247,0.493,0
0.392,0.005,1
0.338,0.392,1
0.166,0.564,0
0.691,0.225,0
0.147,0.948,0
0.497,0.627,1
0.201,0.315,1
0.102,0.507,0
0.122,0.496,0
0.382,0.330,1
0.684,0.695,0
0.096,0.873,1
0.131,0.500,0
0.112,0.481,0
0.404,0.654,0
0.271,0.478,0
0.109,0.615,1
0.178,0.606,0
0.783,0.638,0
0.303,0.664,0
0.492,0.830,0
0.714,0.981,0
0.096,0.461,1
0.240,0.671,0
0.422,0.280,0
0.070,0.430,1
0.425,0.683,0
0.147,0.419,1
0.073,0.458,1
0.291,0.997,1
0.527,0.867,1
0.343,0.373,0
0.277,0.397,1
0.196,0.434,0
0.303,0.506,1
0.851,0.966,1
0.734,0.098,0
0.073,0.499,0
0.361,0.537,1
0.457,0.475,0
0.416,0.320,0
0.227,0.453,0
0.517,0.450,0
0.378,0.645,1
0.545,0.584,1
0.611,0.659,0
0.146,0.713,1
0.106,0.469,1
0.864,0.601,0
0.019,0.934,0
0.143,0.299,0
0.628,0.590,0
0.225,0.473,0
0.116,0.652,0
0.597,0.758,0
0.383,0.591,1
0.601,0.404,1
0.818,0.418,0
0.441,0.222,0
0.567,0.498,0
0.876,0.158,1
0.457,0.566,0
0.310,0.521,0
0.416,0.017,1
0.068,0.453,0
0.356,0.483,0
0.519,0.518,1
0.313,0.589,1
0.418,0.664,1
0.326,0.624,1
0.802,0.414,1
0.078,0.556,1
0.759,0.093,0
0.219,0.624,1
0.845,0.610,0
0.263,0.442,0
0.103,0.315,1
0.276,0.512,0
0.254,0.493,1
0.208,0.362,1
0.461,0.890,1
0.474,0.798,0
0.396,0.159,0
0.073,0.537,1
0.044,0.497,0
0.465,0.506,0
0.541,0.640,1
0.215,0.457,0
0.469,0.553,1
0.858,0.300,1
0.165,0.423,1
0.944,0.156,0
0.357,0.976,0
0.266,0.621,0
0.358,0.146,0
0.541,0.524,1
0.172,0.920,0
0.080,0.543,1
0.170,0.970,1
0.375,0.157,0
0.638,0.733,0
0.150,0.489,1
0.468,0.437,1
0.906,0.522,0
0.481,0.876,1
0.000,0.778,0
0.170,0.504,1
0.735,0.063,0
0.061,0.458,0
0.845,0.283,1
0.083,0.460,1
0.538,0.621,1
0.838,0.803,0
0.569,0.504,0
0.615,0.326,0
0.391,0.695,1
0.102,0.547,1
0.106,0.588,0
0.738,0.258,0
0.962,0.984,0
0.368,0.078,0
0.015,0.493,0
0.132,0.711,0
0.368,0.320,1
0.202,0.022,0
0.232,0.212,0
0.381,0.325,0
0.251,0.504,1
0.150,0.598,0
0.092,0.495,1
0.259,0.899,0
0.404,0.630,0
0.187,0.487,1
0.335,0.549,0
0.428,0.646,1
0.418,0.415,1
0.584,0.650,0
0.430,0.651,1
0.600,0.498,0
0.298,0.654,1
0.957,0.613,1
0.271,0.648,1
0.324,0.566,1
0.380,0.147,0
0.633,0.089,0
0.459,0.515,1
