@relation sine2-noisy=0.15
@attribute x real
@attribute y real
@attribute class {0,1}

@data
0.844,0.758,1
0.259,0.511,1
0.784,0.303,0
0.583,0.908,0
0.282,0.756,0
0.251,0.910,0
0.684,0.472,0
0.913,0.967,1
0.805,0.549,0
0.825,0.668,0
0.968,0.803,1
0.448,0.080,0
0.290,0.189,0
0.758,0.877,1
0.923,0.842,1
0.923,0.541,0
0.849,0.895,0
0.590,0.950,1
0.451,0.660,0
0.117,0.220,1
0.574,0.910,1
0.036,0.022,0
0.961,0.185,0
0.211,0.801,0
0.023,0.426,1
0.101,0.988,1
0.838,0.918,1
0.058,0.676,1
0.845,0.342,0
0.311,0.357,0
0.012,0.742,1
0.336,0.046,0
0.288,0.359,1
0.414,0.651,0
0.002,0.192,0
0.239,0.637,0
0.875,0.568,1
0.662,0.047,0
0.884,0.495,1
0.875,0.812,1
0.188,0.999,1
0.083,0.726,1
0.214,0.717,0
0.002,0.823,1
0.453,0.792,1
0.681,0.558,1
0.947,0.938,1
0.042,0.749,1
0.655,0.712,1
0.333,0.790,0
0.395,0.548,1
0.293,0.478,0
0.099,0.909,0
0.474,0.841,1
0.344,0.479,1
0.427,0.302,0
0.894,0.920,1
0.376,0.975,1
0.394,0.519,1
0.449,0.489,1
0.679,0.423,0
0.431,0.359,1
0.064,0.864,1
0.378,0.546,0
0.151,0.989,1
0.498,0.499,1
0.963,0.899,1
0.818,0.035,0
0.257,0.784,0
0.583,0.718,1
0.656,0.969,1
0.505,0.901,1
0.574,0.679,1
0.758,0.991,1
0.599,0.826,0
0.798,0.657,0
0.860,0.943,1
0.492,0.863,1
0.987,0.411,0
0.471,0.151,0
0.032,0.617,1
0.105,0.549,0
0.881,0.610,0
0.124,0.683,0
0.189,0.782,0
0.790,0.075,0
0.216,0.093,0
0.819,0.889,1
0.699,0.420,1
0.923,0.936,0
0.447,0.686,1
0.030,0.919,1
0.723,0.079,0
0.359,0.029,1
0.010,0.974,1
0.205,0.674,0
0.938,0.123,0
0.473,0.293,1
0.937,0.958,1
0.581,0.156,1
0.898,0.946,1
0.551,0.741,1
0.369,0.949,0
0.058,0.409,0
0.728,0.321,1
0.558,0.688,0
0.796,0.446,0
0.768,0.432,1
0.483,0.204,0
0.002,0.699,1
0.629,0.545,0
0.156,0.706,0
0.762,0.280,0
0.526,0.582,1
0.396,0.102,0
0.283,0.755,1
0.530,0.249,0
0.920,0.164,0
0.627,0.531,1
0.292,0.372,0
0.381,0.591,1
0.140,0.668,0
0.695,0.318,0
0.652,0.060,0
0.621,1.000,1
0.461,0.330,1
0.435,0.447,1
0.709,0.524,1
0.389,0.807,1
0.390,0.220,0
0.940,0.587,0
0.388,0.234,0
0.613,0.705,1
0.512,0.284,1
0.353,0.458,1
0.516,0.956,1
0.930,0.934,1
0.266,0.044,0
0.681,0.971,0
0.340,0.102,0
0.029,0.044,0
0.673,0.736,1
0.072,0.461,0
0.099,0.765,1
0.077,0.427,1
0.180,0.490,1
0.128,0.871,1
0.442,0.605,1
0.099,0.733,0
0.660,0.742,1
0.645,0.118,1
0.703,0.661,1
0.234,0.629,0
0.553,0.328,1
0.585,0.025,0
0.396,0.976,1
0.076,0.765,0
0.353,0.591,1
0.834,0.526,0
0.220,0.653,1
0.661,0.495,0
0.481,0.314,1
0.038,0.726,1
0.962,0.343,1
0.726,0.658,0
0.672,0.305,1
0.025,0.045,0
0.226,0.654,0
0.892,0.217,0
0.747,0.383,0
0.736,0.687,1
0.409,0.390,1
0.514,0.732,1
0.022,0.806,1
0.621,0.458,1
0.150,0.602,0
0.806,0.733,0
0.932,0.036,0
0.293,0.151,0
0.270,0.492,0
0.550,0.977,1
0.773,0.570,0
0.404,0.496,1
0.776,0.290,0
0.340,0.978,1
0.329,0.969,1
0.916,0.899,1
0.816,0.565,0
0.323,0.783,1
0.141,0.044,0
0.126,0.929,1
0.480,0.947,0
0.779,0.747,0
0.549,0.424,1
0.504,0.797,1
0.285,0.429,0
0.991,0.718,1
0.538,0.555,1
0.361,0.950,1
0.562,0.412,1
0.804,0.228,0
0.529,0.941,1
0.731,0.249,1
0.448,0.744,0
0.450,0.509,1
0.773,0.610,0
0.091,0.030,0
0.775,0.626,1
0.127,0.710,0
0.328,0.024,0
0.928,0.845,1
0.984,0.765,1
0.275,0.671,1
0.404,0.306,0
0.125,0.134,0
0.824,0.043,0
0.555,0.744,0
0.261,0.700,1
0.758,0.818,1
0.072,0.648,0
0.239,0.459,1
0.821,0.343,0
0.813,0.080,0
0.352,0.452,1
0.512,0.987,1
0.119,0.317,0
0.358,0.835,1
0.077,0.054,0
0.902,0.756,1
0.190,0.388,1
0.358,0.123,1
0.554,0.872,1
0.496,0.080,0
0.862,0.791,1
0.262,0.648,1
0.175,0.921,1
0.625,0.946,1
0.483,0.888,1
0.044,0.240,0
0.170,0.238,0
0.013,0.930,1
0.038,0.777,0
0.510,0.533,1
0.436,0.471,1
0.397,0.581,0
0.836,0.998,1
0.475,0.237,1
0.421,0.870,1
0.393,0.925,1
0.604,0.161,0
0.411,0.590,0
0.345,0.629,0
0.196,0.957,1
0.177,0.584,1
0.634,0.291,0
0.431,0.398,0
0.076,0.711,1
0.118,0.963,1
0.502,0.332,1
0.695,0.912,1
0.965,0.996,1
0.813,0.683,0
0.005,0.595,1
0.644,0.982,1
0.376,0.793,0
